ArtifactID,Category
apache-modeler:commons-modeler,Software Security
apache-myfaces:myfaces-api,Software Configuration Management
apache-myfaces:myfaces-impl,Software Configuration Management
apache-scout:scout,Software Configuration Management
apache-slide:webdavlib,Software Configuration Management
apache-taglibs:jstl,Software Engineering Operations
apache-taglibs:standard,Software Engineering Operations
apache-tomcat:naming-resources,Software Security
apache-tomcat:tomcat-http,Software Security
apache-tomcat:tomcat-util,Software Security
apache-velocity:velocity,Software Configuration Management
apache-xalan:serializer,Software Security
apache-xalan:xalan,Software Security
apache-xerces:resolver,Software Configuration Management
apache-xerces:xercesImpl,Software Security
apache-xerces:xml-apis,Others
apache.http.components:client,Software Construction
apache.http.components:core,Software Construction
apache.http.components:mime,Software Construction
apache.poi.ooxml:schemas,Software Construction
apache.poi.tm:extractors,Software Construction
apache.ws.axis:ant,Software Construction
apache.ws:axis,Software Construction
apache.xml.xalan:serializer,Software Construction
apache.xml:xalan,Software Construction
apache.xml:xerces,Software Construction
aparzev:commons,Software Construction
aparzev:doka,Software Construction
apex:apex-jorje-ide,Software Construction
apex:apex-jorje-semantic,Software Construction
app.cash.sqldelight:android-driver,Computing Foundations
app.cash.sqldelight:native-driver,Computing Foundations
app.cash.sqldelight:native-driver-iosarm64,Computing Foundations
app.cash.sqldelight:native-driver-iossimulatorarm64,Computing Foundations
app.cash.sqldelight:native-driver-iosx64,Computing Foundations
app.cash.sqldelight:native-driver-macosarm64,Computing Foundations
app.cash.sqldelight:native-driver-macosx64,Computing Foundations
app.cash.sqldelight:native-driver-tvosarm64,Computing Foundations
app.cash.sqldelight:native-driver-tvossimulatorarm64,Computing Foundations
app.cash.sqldelight:native-driver-tvosx64,Computing Foundations
app.cash.sqldelight:native-driver-watchosarm32,Computing Foundations
app.cash.sqldelight:native-driver-watchosarm64,Computing Foundations
app.cash.sqldelight:native-driver-watchossimulatorarm64,Computing Foundations
app.cash.sqldelight:runtime,Computing Foundations
app.cash.sqldelight:runtime-iosarm64,Computing Foundations
app.cash.sqldelight:runtime-iossimulatorarm64,Computing Foundations
app.cash.sqldelight:runtime-iosx64,Computing Foundations
app.cash.sqldelight:runtime-jvm,Computing Foundations
app.cash.sqldelight:runtime-macosarm64,Computing Foundations
app.cash.sqldelight:runtime-macosx64,Computing Foundations
app.cash.sqldelight:runtime-tvosarm64,Computing Foundations
app.cash.sqldelight:runtime-tvossimulatorarm64,Computing Foundations
app.cash.sqldelight:runtime-tvosx64,Computing Foundations
app.cash.sqldelight:runtime-watchosarm32,Computing Foundations
app.cash.sqldelight:runtime-watchosarm64,Computing Foundations
app.cash.sqldelight:runtime-watchossimulatorarm64,Computing Foundations
app.cash.sqldelight:sqlite-driver,Computing Foundations
app.softwork:kotlinx-uuid-core-js,Software Utilities
app.softwork:kotlinx-uuid-core-jvm,Software Utilities
app.softwork:kotlinx-uuid-core-linuxx64,Software Utilities
app.softwork:kotlinx-uuid-core-mingwx64,Software Utilities
app.tulz:tuplez-full-light_2.12,Others
app.tulz:tuplez-full-light_2.13,Others
app.tulz:tuplez-full-light_3,Others
app.tulz:tuplez-full-light_sjs1_2.12,Others
app.tulz:tuplez-full-light_sjs1_2.13,Others
app.tulz:tuplez-full-light_sjs1_3,Others
app.tulz:tuplez-full-light_sjs1_3.0.0-RC2,Others
app.tulz:tuplez-full-light_sjs1_3.0.0-RC3,Others
ar.com.gonto:factory_pal_2.10,Software Configuration Management
art.uniroma2.it.org.openrdf.sesame:sesame-onejar,Others
as3isolib:as3isolib-fp9,Others
as400dq:jt400,Computing Foundations
asm-attrs:asm-attrs,Software Construction
asm-util:asm-util,Software Construction
asn1-ber:asn1-codec,Software Construction
aspectwerkz-core:aspectwerkz-core,Software Construction
at.ac.ait.hbs.homer:at.ac.ait.hbs.homer.core.common,Software Construction
at.ac.ait.hbs.homer:at.ac.ait.hbs.homer.core.scheduler,Software Construction
at.ac.ait.hbs.homer:at.ac.ait.hbs.homer.core.system,Software Construction
at.bestsolution.efxclipse.rt:org.eclipse.fx.core,Software Quality
at.bestsolution.efxclipse.rt:org.eclipse.fx.ui.controls,Software Quality
at.bestsolution.efxclipse.rt:org.eclipse.fx.ui.workbench.fx,Software Quality
at.crea-doo.util.netio:netio,Software Construction
at.crea-doo.util.toughswitch:toughswitch,Software Construction
at.crea-doo.util:yahoo-weather-java-api,Software Construction
at.datenwort.ews:de-bwl-lgl-ews-java-api,Software Quality
at.downdrown.vaadinaddons:highchartsapi,Software Engineering Management
at.gridgears.schemas:held,Others
at.gv.egiz:smcc,Software Configuration Management
at.lux:imageanalysis,Mathematical Foundations
atg.platform:DAS,Others
atg.platform:DPS,Others
atg.platform:DSS,Others
atlassian-bucket:atlassian-bucket,Software Construction
atlassian-renderer:atlassian-renderer,Software Construction
atomixmiser:atomixmiser,Software Configuration Management
att:naturalvoices,Software Engineering Operations
au.com.cba.omnia:ebenezer_2.11,Others
au.com.cba.omnia:permafrost_2.11,Others
au.com.cba.omnia:thermometer-hive_2.11,Others
au.com.dius.pact.consumer:junit,Software Quality
au.com.dius.pact.consumer:junit5,Software Engineering Operations
au.com.dius.pact.core:model,Software Quality
au.com.dius.pact.provider:junit5,Software Engineering Operations
au.com.dius.pact:consumer,Software Quality
au.com.dius.pact:provider,Software Quality
au.com.redboxresearchdata.rifcs:ands-rifcs-builder,Computing Foundations
au.com.redboxresearchdata:orcid-java-client,Computing Foundations
au.com.stocksoftware.com.google.inject:guice,Software Quality
au.edu.usq.fascinator.plugins:plugin-access-derby,Computing Foundations
au.edu.usq.fascinator.plugins:plugin-authentication-internal,Computing Foundations
au.edu.usq.fascinator.plugins:plugin-harvester-csv,Computing Foundations
au.edu.usq.fascinator.plugins:plugin-harvester-oai-pmh,Computing Foundations
au.edu.usq.fascinator.plugins:plugin-harvester-skos,Computing Foundations
au.edu.usq.fascinator.plugins:plugin-harvester-workflow,Computing Foundations
au.edu.usq.fascinator.plugins:plugin-indexer-solr,Computing Foundations
au.edu.usq.fascinator.plugins:plugin-roles-internal,Computing Foundations
au.edu.usq.fascinator.plugins:plugin-storage-filesystem,Computing Foundations
au.edu.usq.fascinator.plugins:plugin-subscriber-solrEventLog,Computing Foundations
au.edu.usq.fascinator.plugins:plugin-transformer-jsonVelocity,Computing Foundations
au.edu.usq.fascinator:fascinator-common,Computing Foundations
au.edu.usq.fascinator:fascinator-plugin-api,Computing Foundations
au.edu.usq.fascinator:fascinator-portal,Computing Foundations
au.id.jazzy:play-geojson_2.12,Others
au.id.jazzy:play-geojson_2.13,Others
au.net.ocean:util,Software Security
aurelienribon.tweenengine:tween-engine-api,Software Design
aurelienribon:tweenengine,Others
auto-value-jackson:core,Computing Foundations
auto:auto-decorator,Others
auto:auto-no-op,Others
auto:common,Others
autodispose-root:test-utils,Others
autodoc:autodoc,Software Engineering Operations
aws.sdk.kotlin:dynamodb-jvm,Software Domain
aws.sdk.kotlin:dynamodbstreams-jvm,Software Domain
aws.sdk.kotlin:eventbridge-jvm,Software Domain
aws.sdk.kotlin:lambda-jvm,Software Domain
aws.sdk.kotlin:s3-jvm,Software Domain
axis2:axis2-wsdl,Others
axis:axis,Computing Foundations
axis:axis-ant,Software Engineering Management
axis:axis-jaxrpc,Software Construction
axis:axis-saaj,Software Utilities
axis:axis-wsdl4j,Software Construction
azureml-fs-scala-impl:feathrshimentrypoint,Software Engineering Operations
b2-sdk-java:b2-sdk-core,Others
b2-sdk-java:b2-sdk-httpclient,Others
backport-util-concurrent.wso2:backport-util-concurrent,Others
backport-util-concurrent:backport-util-concurrent.osgi,Computing Foundations
backport.util:concurrent,Software Construction
backtype:dfs-datastores,Software Domain
backtype:dfs-datastores-cascading,Software Domain
banner:dragontool,Computing Foundations
banner:heptag,Computing Foundations
banner:medpost,Computing Foundations
batik:batik-anim,Software Construction
batik:batik-codec,Software Design
bcprov:jdk14,Software Construction
bdsup2sub:bdsup2sub,Software Construction
be.ac.ulg.montefiore.run.jahmm:jahmm,Software Design
be.billington.calendar.recurrencepicker:library,Software Construction
be.fedict.eid-applet:eid-applet-package,Software Configuration Management
be.fedict.eid-applet:eid-applet-service,Software Configuration Management
be.fedict.eid-applet:eid-applet-shared,Software Configuration Management
be.fluid-it.microservice.bundle:microservice-bundle-core,Software Configuration Management
be.insaneprogramming.gradle:animalsniffer-gradle-plugin,Software Construction
be.orbinson.aem:aem-groovy-console-bundle,Others
be.venneborg:play26-refined_2.11,Others
be.venneborg:play26-refined_2.12,Others
beaninject:beaninject,Software Quality
beanshell:beanshell,Computing Foundations
beehive:beehive-controls,Others
beyondthelines:pbdirect_2.11,Others
beyondthelines:pbdirect_2.12,Others
bigml:histogram,Software Quality
bioadi:bioadi,Computing Foundations
bioadi:j-seqalign,Computing Foundations
bioadi:sptoolkit,Computing Foundations
bitwalker:UserAgentUtils,Software Construction
biz.c24.io.test:test-statements,Software Engineering Management
biz.c24.io.test:test-transactions,Software Engineering Management
biz.c24.io.test:test-transform,Software Engineering Management
biz.c24.io:c24-io-api,Software Engineering Management
biz.gabrys.maven:plugin-utils,Software Construction
biz.k11i:xgboost-predictor,Computing Foundations
biz.netcentric.aem:aem-nodetypes,Software Configuration Management
black.ninia:jep,Computing Foundations
blitz:blitz,Software Construction
blockcanary:blockcanary-core,Software Construction
blowfish:blowfish,Others
bouncycastle:bcprov,Software Engineering Operations
bouncycastle:bouncycastle-jce,Software Utilities
bouncycastle:lcrypto-jdk14,Software Architeture
br.com.autonomiccs:apache-cloudstack-java-client,Others
br.com.criativasoft.opendevice.ext:bluecove,Computing Foundations
br.com.criativasoft.opendevice.ext:bluecove-gpl,Computing Foundations
br.com.criativasoft.opendevice.ext:bluecove-gpl-arm,Computing Foundations
br.com.digilabs.jqplot:jqplot4java,Software Configuration Management
br.com.esec.icpm:icpm-security-helper,Others
br.com.esec:esec-itext,Others
br.com.ingenieux.simplejpa:simplejpa,Software Engineering Operations
br.com.insula:opes,Others
br.com.objectos.comuns:comuns,Others
br.com.objectos.comuns:comuns-collections,Others
br.com.objectos.comuns:comuns-lang,Others
br.com.objectos.comuns:comuns-testing,Others
br.com.objectos.way:it-pkg,Others
br.com.objectos.way:it-type,Others
br.com.objectos:br,Others
br.com.objectos:libreoffice-java_uno,Others
br.com.objectos:libreoffice-juh,Others
br.com.objectos:libreoffice-jurt,Others
br.com.objectos:libreoffice-ridl,Others
br.com.objectos:libreoffice-unoil,Others
br.com.objectos:libreoffice-unoloader,Others
br.com.objectos:objectos-selfgen,Others
br.com.stone:stone-sdk,Software Engineering Economics
br.com.uol.plugpag:interno,Software Engineering Economics
br.danfma:kodando-runtime,Software Design
br.danfma:kodando-rxjs,Software Design
br.unb.cic:unbbayes,Computing Foundations
br.usp.each.saeg:ba-dua-agent-rt,Others
br.usp.each.saeg:ba-dua-cli,Others
braintree-android:braintree,Software Engineering Economics
braintree-android:core,Software Engineering Economics
