ArtifactID,Categoria
TSCore:Log,Desenvolvimento de Software
TSCore:Regex,Desenvolvimento de Software
TencentMapSdk:sdk-tools-json,Diversos
UniversalUpgrade:uupgrade-annotation,Desenvolvimento de Software
__commons-io:commons-io,Desenvolvimento de Software
__commons-io:commons-io-deflected,Desenvolvimento de Software
__java:rt,Desenvolvimento de Software
__org.antlr:antlr4,Desenvolvimento de Software
__org.antlr:antlr4-deflected,Desenvolvimento de Software
abbot:abbot.swt,Desenvolvimento de Software
abbot:abbot.swt.eclipse,Desenvolvimento de Software
achartengine:achartengine,Desenvolvimento de Software
acs:ACSErrTypeCommon,Desenvolvimento de Software
acs:acserrj,Desenvolvimento de Software
acs:acsjlog,Desenvolvimento de Software
acs:jACSUtil,Desenvolvimento de Software
acs:lc,Desenvolvimento de Software
acs:lcEngine,Desenvolvimento de Software
activemq:activemq-core-test,Gerenciamento de Dados
activescript:jguid,Utilitários e Ferramentas
adaptx:adaptx,Web e Aplicações
add-ons:maps,Desenvolvimento de Software
admob:admob,Desenvolvimento de Software
ads:AdQuality,Desenvolvimento de Software
advancedflex:debugger,Desenvolvimento de Software
aerospike-java-plugins:aerospike-transcoder,Gerenciamento de Dados
ai.catboost:catboost-prediction,Gerenciamento de Dados
ai.djl.huggingface:tokenizers,Gerenciamento de Dados
ai.djl.mxnet:mxnet-engine,Integração e Comunicação
ai.djl.mxnet:mxnet-model-zoo,Integração e Comunicação
ai.djl.mxnet:mxnet-native-auto,Integração e Comunicação
ai.djl.pytorch:pytorch-engine,Gerenciamento de Dados
ai.djl.pytorch:pytorch-native-auto,Gerenciamento de Dados
ai.djl.tensorflow:tensorflow-native-auto,Integração e Comunicação
ai.djl.timeseries:timeseries,Integração e Comunicação
ai.djl:api,Gerenciamento de Dados
ai.djl:model-zoo,Gerenciamento de Dados
ai.h2o.mli:h2o-genmodel-ext-klime,Análise e Processamento de Dados
ai.h2o:javassist,Análise e Processamento de Dados
ai.h2o:mojo2-cli,Análise e Processamento de Dados
ai.h2o:mojo2-combined,Análise e Processamento de Dados
ai.h2o:mojo2-custom-op-yeo-johnson,Análise e Processamento de Dados
ai.h2o:mojo2-runtime-ext-tensorflow,Análise e Processamento de Dados
ai.h2o:sparkling-water-api-generation,Análise e Processamento de Dados
ai.h2o:sparkling-water-assembly,Análise e Processamento de Dados
ai.h2o:sparkling-water-extension-stack-trace,Análise e Processamento de Dados
ai.h2o:sparkling-water-repl,Análise e Processamento de Dados
ai.kien:python-native-libs_2.12,Desenvolvimento de Software
ai.kien:python-native-libs_2.13,Desenvolvimento de Software
ai.lum:labrador-core_2.12,Análise e Processamento de Dados
akinaru:http-endec,Utilitários e Ferramentas
alda:alda,Diversos
alien4cloud:alien4cloud-core,Desenvolvimento de Software
aliyun-log-android-sdk:aliyun_sls_android_adapter,Web e Aplicações
aliyun-log-android-sdk:aliyun_sls_android_common,Web e Aplicações
aliyun-log-android-sdk:aliyun_sls_android_producer,Web e Aplicações
alkhalil:alkhalil-analyzer,Desenvolvimento de Software
alkhalil:alkhalil-db-long,Desenvolvimento de Software
alkhalil:alkhalil-db-short,Desenvolvimento de Software
amalloy:ring-gzip-middleware,Web e Aplicações
amazon:MapReduce.Service.Client,Segurança e Gestão
amazonica:amazonica,Web e Aplicações
ameba:ameba,Diversos
amf:flex-messaging-core,Gerenciamento de Dados
amplab:spark-indexedrdd,Gerenciamento de Dados
analytics-android:amplitude,Análise e Processamento de Dados
analytics-android:bugsnag,Análise e Processamento de Dados
analytics-android:core,Análise e Processamento de Dados
analytics-android:countly,Análise e Processamento de Dados
analytics-android:flurry,Análise e Processamento de Dados
analytics-android:google-analytics,Análise e Processamento de Dados
analytics-android:localytics,Análise e Processamento de Dados
analytics-android:mixpanel,Análise e Processamento de Dados
analytics-android:quantcast,Análise e Processamento de Dados
analytics-android:tapstream,Análise e Processamento de Dados
android-async-http:android-async-http,Desenvolvimento de Software
android-backdoors-bdd-annotations:android-backdoor-bdd-annotations,Desenvolvimento de Software
android-gif-drawable:android-gif-drawable-native-armeabi,Desenvolvimento Frontend
android.arch.lifecycle:common,Desenvolvimento de Software
android.arch.lifecycle:common-java8,Desenvolvimento de Software
android.arch.lifecycle:compiler,Desenvolvimento de Software
android.arch.lifecycle:extensions,Desenvolvimento de Software
android.arch.lifecycle:livedata,Desenvolvimento de Software
android.arch.lifecycle:runtime,Desenvolvimento de Software
android.arch.lifecycle:viewmodel,Desenvolvimento de Software
android.arch.paging:runtime,Desenvolvimento de Software
android.arch.persistence.room:compiler,Gerenciamento de Dados
android.arch.persistence.room:runtime,Desenvolvimento de Software
android.arch.persistence:db,Gerenciamento de Dados
android.arch.persistence:db-framework,Gerenciamento de Dados
android.arch.work:work-runtime-ktx,Gerenciamento de Dados
android.commonsware:mergeadapter,Desenvolvimento de Software
android.commonsware:sacklist,Desenvolvimento de Software
android.compatibility:android-support-multidex,Desenvolvimento de Software
android.compatibility:android-support-v4,Desenvolvimento de Software
android.compatibility:android-support-v7-appcompat,Desenvolvimento de Software
android.compatibility:annotations,Desenvolvimento de Software
android.gcm:gcm-server,Desenvolvimento de Software
android.mail:activation,Desenvolvimento de Software
android.mail:additionnal,Desenvolvimento de Software
android.mail:mail,Desenvolvimento de Software
android.support:compatibility-v13,Desenvolvimento de Software
android.support:compatibility-v4,Desenvolvimento de Software
android.support:compatibility-v7-appcompat,Desenvolvimento de Software
android:android,Desenvolvimento de Software
android:google-play-services,Desenvolvimento de Software
android:libcore,Desenvolvimento de Software
android:libtelemetry,Desenvolvimento de Software
android:mapbox-android-gestures,Desenvolvimento de Software
android:services-geojson,Desenvolvimento de Software
android:services-turf,Desenvolvimento de Software
androidsdk.modules:shield,Desenvolvimento de Software
androidx.activity:activity,Desenvolvimento de Software
androidx.activity:activity-compose,Desenvolvimento de Software
androidx.activity:activity-ktx,Aplicações Empresariais
androidx.annotation:annotation,Desenvolvimento de Software
androidx.annotation:annotation-experimental,Desenvolvimento de Software
androidx.annotation:annotation-jvm,Desenvolvimento de Software
androidx.appcompat:appcompat,Desenvolvimento de Software
androidx.appcompat:appcompat-resources,Desenvolvimento Frontend
androidx.arch.core:core-common,Desenvolvimento de Software
androidx.arch.core:core-runtime,Desenvolvimento de Software
androidx.arch.core:core-testing,Desenvolvimento de Software
androidx.asynclayoutinflater:asynclayoutinflater,Desenvolvimento de Software
androidx.autofill:autofill,Desenvolvimento de Software
androidx.biometric:biometric,Desenvolvimento de Software
androidx.biometric:biometric-ktx,Desenvolvimento de Software
androidx.browser:browser,Desenvolvimento de Software
androidx.camera:camera-camera2,Aplicações Empresariais
androidx.camera:camera-core,Desenvolvimento de Software
androidx.camera:camera-extensions,Desenvolvimento de Software
androidx.camera:camera-lifecycle,Aplicações Empresariais
androidx.camera:camera-video,Desenvolvimento de Software
androidx.camera:camera-view,Desenvolvimento de Software
androidx.cardview:cardview,Desenvolvimento de Software
androidx.collection:collection,Desenvolvimento de Software
androidx.collection:collection-ktx,Desenvolvimento de Software
androidx.compose.animation:animation,Desenvolvimento de Software
androidx.compose.compiler:compiler,Diversos
androidx.compose.foundation:foundation,Desenvolvimento de Software
androidx.compose.foundation:foundation-layout,Desenvolvimento de Software
androidx.compose.material3:material3,Desenvolvimento de Software
androidx.compose.material3:material3-window-size-class,Gerenciamento de Dados
androidx.compose.material:material,Desenvolvimento de Software
androidx.compose.material:material-icons-core,Aplicações Empresariais
androidx.compose.material:material-icons-extended,Aplicações Empresariais
androidx.compose.runtime:runtime,Desenvolvimento de Software
androidx.compose.runtime:runtime-livedata,Aplicações Empresariais
androidx.compose.runtime:runtime-rxjava2,Aplicações Empresariais
androidx.compose.runtime:runtime-rxjava3,Desenvolvimento de Software
androidx.compose.runtime:runtime-saveable,Desenvolvimento de Software
androidx.compose.runtime:runtime-saved-instance-state,Desenvolvimento de Software
androidx.compose.ui:ui,Desenvolvimento de Software
androidx.compose.ui:ui-graphics,Desenvolvimento de Software
androidx.compose.ui:ui-test-junit4,Desenvolvimento de Software
androidx.compose.ui:ui-tooling,Desenvolvimento de Software
androidx.compose.ui:ui-tooling-preview,Aplicações Empresariais
androidx.compose.ui:ui-viewbinding,Aplicações Empresariais
androidx.compose:compose-bom,Aplicações Empresariais
androidx.compose:compose-runtime,Desenvolvimento de Software
androidx.concurrent:concurrent-futures,Desenvolvimento de Software
androidx.concurrent:concurrent-futures-ktx,Desenvolvimento de Software
androidx.constraintlayout:constraintlayout,Desenvolvimento de Software
androidx.constraintlayout:constraintlayout-compose,Aplicações Empresariais
androidx.constraintlayout:constraintlayout-core,Desenvolvimento de Software
androidx.contentpager:contentpager,Desenvolvimento de Software
androidx.coordinatorlayout:coordinatorlayout,Desenvolvimento de Software
androidx.core:core,Desenvolvimento de Software
androidx.core:core-animation,Desenvolvimento de Software
androidx.core:core-ktx,Desenvolvimento de Software
androidx.core:core-role,Desenvolvimento de Software
androidx.cursoradapter:cursoradapter,Desenvolvimento de Software
androidx.customview:customview,Desenvolvimento de Software
androidx.databinding:databinding-adapters,Desenvolvimento de Software
androidx.databinding:databinding-common,Desenvolvimento de Software
androidx.databinding:databinding-ktx,Desenvolvimento Frontend
androidx.databinding:databinding-runtime,Desenvolvimento de Software
androidx.databinding:viewbinding,Desenvolvimento de Software
androidx.datastore:datastore-preferences,Desenvolvimento de Software
androidx.documentfile:documentfile,Desenvolvimento de Software
androidx.drawerlayout:drawerlayout,Desenvolvimento de Software
androidx.dynamicanimation:dynamicanimation,Desenvolvimento de Software
androidx.dynamicanimation:dynamicanimation-ktx,Desenvolvimento Frontend
androidx.emoji2:emoji2,Desenvolvimento de Software
androidx.emoji2:emoji2-views-helper,Desenvolvimento de Software
androidx.emoji:emoji-appcompat,Desenvolvimento de Software
androidx.exifinterface:exifinterface,Desenvolvimento de Software
androidx.fragment:fragment,Desenvolvimento de Software
androidx.fragment:fragment-ktx,Aplicações Empresariais
androidx.fragment:fragment-testing,Desenvolvimento de Software
androidx.gridlayout:gridlayout,Desenvolvimento de Software
androidx.hilt:hilt-navigation-compose,Desenvolvimento de Software
androidx.interpolator:interpolator,Desenvolvimento de Software
androidx.leanback:leanback,Segurança e Gestão
androidx.legacy:legacy-preference-v14,Diversos
androidx.legacy:legacy-support-core-ui,Desenvolvimento de Software
androidx.legacy:legacy-support-core-utils,Desenvolvimento de Software
androidx.legacy:legacy-support-v4,Desenvolvimento de Software
androidx.lifecycle:lifecycle-common,Desenvolvimento de Software
androidx.lifecycle:lifecycle-common-java8,Desenvolvimento de Software
androidx.lifecycle:lifecycle-common-jvm,Desenvolvimento de Software
androidx.lifecycle:lifecycle-extensions,Desenvolvimento de Software
androidx.lifecycle:lifecycle-livedata,Desenvolvimento de Software
androidx.lifecycle:lifecycle-livedata-core,Desenvolvimento de Software
androidx.lifecycle:lifecycle-livedata-core-ktx,Desenvolvimento de Software
androidx.lifecycle:lifecycle-livedata-ktx,Aplicações Empresariais
androidx.lifecycle:lifecycle-process,Desenvolvimento de Software
androidx.lifecycle:lifecycle-reactivestreams,Desenvolvimento de Software
androidx.lifecycle:lifecycle-reactivestreams-ktx,Desenvolvimento de Software
androidx.lifecycle:lifecycle-runtime,Desenvolvimento de Software
androidx.lifecycle:lifecycle-runtime-compose,Gerenciamento de Dados
androidx.lifecycle:lifecycle-runtime-ktx,Desenvolvimento de Software
androidx.lifecycle:lifecycle-service,Desenvolvimento de Software
androidx.lifecycle:lifecycle-viewmodel,Desenvolvimento de Software
androidx.lifecycle:lifecycle-viewmodel-compose,Desenvolvimento de Software
androidx.lifecycle:lifecycle-viewmodel-ktx,Desenvolvimento de Software
androidx.lifecycle:lifecycle-viewmodel-savedstate,Desenvolvimento de Software
androidx.loader:loader,Desenvolvimento de Software
androidx.localbroadcastmanager:localbroadcastmanager,Desenvolvimento de Software
androidx.media3:media3-exoplayer,Desenvolvimento Frontend
androidx.media3:media3-exoplayer-dash,Desenvolvimento Frontend
androidx.media3:media3-exoplayer-hls,Desenvolvimento Frontend
androidx.media3:media3-ui,Desenvolvimento Frontend
androidx.media:media,Gerenciamento de Dados
androidx.mediarouter:mediarouter,Desenvolvimento de Software
androidx.metrics:metrics-performance,Segurança e Gestão
androidx.multidex:multidex,Desenvolvimento de Software
androidx.navigation:navigation-compose,Aplicações Empresariais
androidx.navigation:navigation-fragment,Desenvolvimento de Software
androidx.navigation:navigation-fragment-ktx,Desenvolvimento de Software
androidx.navigation:navigation-runtime,Segurança e Gestão
androidx.navigation:navigation-runtime-ktx,Desenvolvimento de Software
androidx.navigation:navigation-ui,Desenvolvimento de Software
androidx.navigation:navigation-ui-ktx,Desenvolvimento de Software
androidx.paging:paging-common,Desenvolvimento de Software
androidx.paging:paging-common-ktx,Desenvolvimento de Software
androidx.paging:paging-compose,Análise e Processamento de Dados
androidx.paging:paging-runtime,Desenvolvimento de Software
androidx.paging:paging-runtime-ktx,Desenvolvimento de Software
androidx.palette:palette,Desenvolvimento de Software
androidx.palette:palette-ktx,Desenvolvimento de Software
androidx.preference:preference,Desenvolvimento de Software
androidx.preference:preference-ktx,Desenvolvimento de Software
androidx.print:print,Desenvolvimento de Software
androidx.profileinstaller:profileinstaller,Desenvolvimento de Software
androidx.recyclerview:recyclerview,Desenvolvimento de Software
androidx.recyclerview:recyclerview-selection,Desenvolvimento de Software
androidx.remotecallback:remotecallback,Desenvolvimento de Software
androidx.resourceinspection:resourceinspection-annotation,Desenvolvimento de Software
androidx.room:room-common,Desenvolvimento de Software
androidx.room:room-compiler,Diversos
androidx.room:room-compiler-processing,Desenvolvimento de Software
androidx.room:room-ktx,Desenvolvimento de Software
androidx.room:room-migration,Desenvolvimento de Software
androidx.room:room-runtime,Desenvolvimento de Software
androidx.room:room-rxjava3,Diversos
androidx.room:room-testing,Gerenciamento de Dados
androidx.savedstate:savedstate,Desenvolvimento de Software
androidx.savedstate:savedstate-ktx,Desenvolvimento de Software
androidx.security:security-crypto,Desenvolvimento de Software
androidx.sharetarget:sharetarget,Desenvolvimento de Software
androidx.slidingpanelayout:slidingpanelayout,Desenvolvimento de Software
androidx.sqlite:sqlite,Gerenciamento de Dados
androidx.sqlite:sqlite-framework,Gerenciamento de Dados
androidx.startup:startup-runtime,Desenvolvimento de Software
androidx.swiperefreshlayout:swiperefreshlayout,Desenvolvimento de Software
androidx.test.espresso:espresso-core,Desenvolvimento de Software
androidx.test.espresso:espresso-idling-resource,Desenvolvimento de Software
androidx.test.espresso:espresso-web,Diversos
androidx.test.ext:junit,Desenvolvimento de Software
androidx.test.ext:junit-ktx,Desenvolvimento de Software
androidx.test.ext:truth,Desenvolvimento de Software
androidx.test.uiautomator:uiautomator,Desenvolvimento de Software
androidx.test:core,Desenvolvimento de Software
androidx.test:core-ktx,Desenvolvimento Frontend
androidx.test:monitor,Desenvolvimento de Software
androidx.test:rules,Desenvolvimento de Software
androidx.test:runner,Desenvolvimento de Software
androidx.tracing:tracing,Desenvolvimento Frontend
androidx.transition:transition,Desenvolvimento de Software
androidx.transition:transition-ktx,Desenvolvimento de Software
androidx.ui:ui-core,Desenvolvimento de Software
androidx.ui:ui-foundation,Desenvolvimento de Software
androidx.ui:ui-framework,Desenvolvimento de Software
androidx.ui:ui-layout,Desenvolvimento de Software
androidx.ui:ui-livedata,Desenvolvimento de Software
androidx.ui:ui-material,Desenvolvimento de Software
androidx.ui:ui-saved-instance-state,Desenvolvimento de Software
androidx.ui:ui-test,Desenvolvimento de Software
androidx.ui:ui-tooling,Desenvolvimento de Software
androidx.vectordrawable:vectordrawable,Desenvolvimento de Software
androidx.vectordrawable:vectordrawable-animated,Desenvolvimento de Software
androidx.versionedparcelable:versionedparcelable,Desenvolvimento de Software
androidx.viewpager2:viewpager2,Desenvolvimento de Software
androidx.viewpager:viewpager,Desenvolvimento de Software
androidx.wear.compose:compose-foundation,Desenvolvimento Frontend
androidx.wear:wear,Desenvolvimento Frontend
androidx.webkit:webkit,Desenvolvimento de Software
androidx.window:window,Desenvolvimento de Software
androidx.window:window-extensions,Desenvolvimento de Software
androidx.window:window-java,Desenvolvimento de Software
androidx.window:window-rxjava3,Desenvolvimento de Software
androidx.work:work-multiprocess,Desenvolvimento de Software
androidx.work:work-runtime,Desenvolvimento de Software
androidx.work:work-runtime-ktx,Gerenciamento de Dados
androidx.work:work-rxjava3,Desenvolvimento de Software
ant-eclipse:ant-eclipse,Gerenciamento de Dados
ant-eclipse:ant-eclipse-jvm1.2,Análise e Processamento de Dados
ant:ant-contrib,Desenvolvimento de Software
ant:ant.osgi,Gerenciamento de Dados
antlr:antlr.osgi,Gerenciamento de Dados
anttex:anttex,Desenvolvimento de Software
anyframe:anyframe.cache,Desenvolvimento de Software
anyframe:anyframe.common,Desenvolvimento de Software
anyframe:anyframe.core.cache,Desenvolvimento de Software
anyframe:anyframe.core.idgen,Desenvolvimento de Software
anyframe:anyframe.core.properties,Desenvolvimento de Software
anyframe:anyframe.core.query,Desenvolvimento de Software
anyframe:anyframe.idgen,Desenvolvimento de Software
anyframe:anyframe.properties,Desenvolvimento de Software
anyframe:anyframe.query,Desenvolvimento de Software
anyframe:anyframe.web.common,Desenvolvimento de Software
anyframe:anyframe.web.springmvc,Desenvolvimento de Software
apache-avalon-logkit:logkit,Web e Aplicações
apache-avalon:avalon-framework,Web e Aplicações
apache-beanutils:commons-beanutils,Gerenciamento de Dados
apache-bsf:bsf,Web e Aplicações
apache-codec:commons-codec,Desenvolvimento de Software
apache-discovery:commons-discovery,Web e Aplicações
apache-httpclient:commons-httpclient,Web e Aplicações
apache-jaxme:jaxmexs,Web e Aplicações
apache-log4j:log4j,Segurança e Gestão
apache-logging:commons-logging,Web e Aplicações
apache-logging:commons-logging-api,Segurança e Gestão
apache-modeler:commons-modeler,Segurança e Gestão
apache-myfaces:myfaces-api,Web e Aplicações
apache-myfaces:myfaces-impl,Web e Aplicações
apache-scout:scout,Web e Aplicações
apache-slide:webdavlib,Web e Aplicações
apache-taglibs:jstl,Web e Aplicações
apache-taglibs:standard,Web e Aplicações
apache-tomcat:naming-resources,Segurança e Gestão
apache-tomcat:tomcat-http,Segurança e Gestão
apache-tomcat:tomcat-util,Segurança e Gestão
apache-velocity:velocity,Web e Aplicações
apache-xalan:serializer,Segurança e Gestão
apache-xalan:xalan,Segurança e Gestão
apache-xerces:resolver,Web e Aplicações
apache-xerces:xercesImpl,Segurança e Gestão
apache-xerces:xml-apis,Desenvolvimento de Software
apache.http.components:client,Desenvolvimento de Software
apache.http.components:core,Desenvolvimento de Software
apache.http.components:mime,Desenvolvimento de Software
apache.poi.ooxml:schemas,Desenvolvimento de Software
apache.poi.tm:extractors,Desenvolvimento de Software
apache.ws.axis:ant,Desenvolvimento de Software
apache.ws:axis,Desenvolvimento de Software
apache.xml.xalan:serializer,Desenvolvimento de Software
apache.xml:xalan,Desenvolvimento de Software
apache.xml:xerces,Desenvolvimento de Software
aparzev:commons,Utilitários e Ferramentas
aparzev:doka,Utilitários e Ferramentas
apex:apex-jorje-ide,Desenvolvimento de Software
apex:apex-jorje-semantic,Desenvolvimento de Software
app.cash.sqldelight:android-driver,Gerenciamento de Dados
app.cash.sqldelight:native-driver,Gerenciamento de Dados
app.cash.sqldelight:native-driver-iosarm64,Gerenciamento de Dados
app.cash.sqldelight:native-driver-iossimulatorarm64,Gerenciamento de Dados
app.cash.sqldelight:native-driver-iosx64,Gerenciamento de Dados
app.cash.sqldelight:native-driver-macosarm64,Gerenciamento de Dados
app.cash.sqldelight:native-driver-macosx64,Gerenciamento de Dados
app.cash.sqldelight:native-driver-tvosarm64,Gerenciamento de Dados
app.cash.sqldelight:native-driver-tvossimulatorarm64,Gerenciamento de Dados
app.cash.sqldelight:native-driver-tvosx64,Gerenciamento de Dados
app.cash.sqldelight:native-driver-watchosarm32,Gerenciamento de Dados
app.cash.sqldelight:native-driver-watchosarm64,Gerenciamento de Dados
app.cash.sqldelight:native-driver-watchossimulatorarm64,Gerenciamento de Dados
app.cash.sqldelight:runtime,Gerenciamento de Dados
app.cash.sqldelight:runtime-iosarm64,Gerenciamento de Dados
app.cash.sqldelight:runtime-iossimulatorarm64,Gerenciamento de Dados
app.cash.sqldelight:runtime-iosx64,Gerenciamento de Dados
app.cash.sqldelight:runtime-jvm,Gerenciamento de Dados
app.cash.sqldelight:runtime-macosarm64,Gerenciamento de Dados
app.cash.sqldelight:runtime-macosx64,Gerenciamento de Dados
app.cash.sqldelight:runtime-tvosarm64,Gerenciamento de Dados
app.cash.sqldelight:runtime-tvossimulatorarm64,Gerenciamento de Dados
app.cash.sqldelight:runtime-tvosx64,Gerenciamento de Dados
app.cash.sqldelight:runtime-watchosarm32,Gerenciamento de Dados
app.cash.sqldelight:runtime-watchosarm64,Gerenciamento de Dados
app.cash.sqldelight:runtime-watchossimulatorarm64,Gerenciamento de Dados
app.cash.sqldelight:sqlite-driver,Gerenciamento de Dados
app.softwork:kotlinx-uuid-core-js,Gerenciamento de Dados
app.softwork:kotlinx-uuid-core-jvm,Gerenciamento de Dados
app.softwork:kotlinx-uuid-core-linuxx64,Gerenciamento de Dados
app.softwork:kotlinx-uuid-core-mingwx64,Gerenciamento de Dados
app.tulz:tuplez-full-light_2.12,Desenvolvimento de Software
app.tulz:tuplez-full-light_2.13,Desenvolvimento de Software
app.tulz:tuplez-full-light_3,Desenvolvimento de Software
app.tulz:tuplez-full-light_sjs1_2.12,Desenvolvimento de Software
app.tulz:tuplez-full-light_sjs1_2.13,Desenvolvimento de Software
app.tulz:tuplez-full-light_sjs1_3,Desenvolvimento de Software
app.tulz:tuplez-full-light_sjs1_3.0.0-RC2,Desenvolvimento de Software
app.tulz:tuplez-full-light_sjs1_3.0.0-RC3,Desenvolvimento de Software
ar.com.gonto:factory_pal_2.10,Integração e Comunicação
art.uniroma2.it.org.openrdf.sesame:sesame-onejar,Desenvolvimento de Software
as3isolib:as3isolib-fp9,Diversos
as400dq:jt400,Gerenciamento de Dados
asm-attrs:asm-attrs,Utilitários e Ferramentas
asm-util:asm-util,Utilitários e Ferramentas
asn1-ber:asn1-codec,Desenvolvimento de Software
aspectwerkz-core:aspectwerkz-core,Desenvolvimento de Software
at.ac.ait.hbs.homer:at.ac.ait.hbs.homer.core.common,Desenvolvimento de Software
at.ac.ait.hbs.homer:at.ac.ait.hbs.homer.core.scheduler,Desenvolvimento de Software
at.ac.ait.hbs.homer:at.ac.ait.hbs.homer.core.system,Desenvolvimento de Software
at.bestsolution.efxclipse.rt:org.eclipse.fx.core,Desenvolvimento de Software
at.bestsolution.efxclipse.rt:org.eclipse.fx.ui.controls,Desenvolvimento de Software
at.bestsolution.efxclipse.rt:org.eclipse.fx.ui.workbench.fx,Desenvolvimento de Software
at.crea-doo.util.netio:netio,Desenvolvimento de Software
at.crea-doo.util.toughswitch:toughswitch,Desenvolvimento de Software
at.crea-doo.util:yahoo-weather-java-api,Desenvolvimento de Software
at.datenwort.ews:de-bwl-lgl-ews-java-api,Desenvolvimento de Software
at.downdrown.vaadinaddons:highchartsapi,Segurança e Gestão
at.gridgears.schemas:held,Diversos
at.gv.egiz:smcc,Gerenciamento de Dados
at.lux:imageanalysis,Análise e Processamento de Dados
atg.platform:DAS,Desenvolvimento de Software
atg.platform:DPS,Desenvolvimento de Software
atg.platform:DSS,Desenvolvimento de Software
atlassian-bucket:atlassian-bucket,Utilitários e Ferramentas
atlassian-renderer:atlassian-renderer,Utilitários e Ferramentas
atomixmiser:atomixmiser,Segurança e Gestão
att:naturalvoices,Web e Aplicações
